"";"CODE_ACT";"CODE_ACTION";"action4_tri";"action4_id";"action4_lib";"action_4";"action3_tri";"action3_id";"action3_lib";"action_3";"action2_tri";"action2_id";"action2_lib";"action_2";"action1_tri";"action1_id";"action1_lib";"action_1"
"31";"MSCA-COFUND-DP";"OAA";"EAA";"MSCA-COFUND-DP";"Doctoral programmes";"MSCA-COFUND-DP - Doctoral programmes";"EAA";"MSCA-COFUND-DP";"Doctoral programmes";"MSCA-COFUND-DP - Doctoral programmes";"EA";"MSCA-COFUND";"Co-funding of regional, national and international programmes";"MSCA-COFUND - Co-funding of regional, national and international programmes";"E";"MSCA";"Marie Sklodowska-Curie actions";"MSCA - Marie Sklodowska-Curie actions"
"32";"JTI-Shift2Rail-RIA";"WB";"PA";"JTI-Shift2Rail-RIA";"Research and Innovation action";"JTI-Shift2Rail-RIA - Research and Innovation action";"PA";"JTI-Shift2Rail-RIA";"Research and Innovation action";"JTI-Shift2Rail-RIA - Research and Innovation action";"PA";"JTI-Shift2Rail-RIA";"Research and Innovation action";"JTI-Shift2Rail-RIA - Research and Innovation action";"P";"JTI-Shift2Rail";"Shift2Rail";"JTI-Shift2Rail - Shift2Rail"
"33";"MSCA-COFUND-FP";"OAB";"EAB";"MSCA-COFUND-FP";"Fellowship programmes";"MSCA-COFUND-FP - Fellowship programmes";"EAB";"MSCA-COFUND-FP";"Fellowship programmes";"MSCA-COFUND-FP - Fellowship programmes";"EA";"MSCA-COFUND";"Co-funding of regional, national and international programmes";"MSCA-COFUND - Co-funding of regional, national and international programmes";"E";"MSCA";"Marie Sklodowska-Curie actions";"MSCA - Marie Sklodowska-Curie actions"
"34";"PCP";"X";"S";"PCP";"Pre-Commercial Procurement";"PCP - Pre-Commercial Procurement";"S";"PCP";"Pre-Commercial Procurement";"PCP - Pre-Commercial Procurement";"S";"PCP";"Pre-Commercial Procurement";"PCP - Pre-Commercial Procurement";"S";"PCP";"Pre-Commercial Procurement";"PCP - Pre-Commercial Procurement"
"35";"JTI-FCH2-IA";"IA";"MB";"JTI-FCH2-IA";"Innovation action";"JTI-FCH2-IA - Innovation action";"MB";"JTI-FCH2-IA";"Innovation action";"JTI-FCH2-IA - Innovation action";"MB";"JTI-FCH2-IA";"Innovation action";"JTI-FCH2-IA - Innovation action";"M";"JTI-FCH2";"FCH2 JU actions";"JTI-FCH2 - FCH2 JU actions"
"36";"JTI-Shift2Rail-CSA";"WC";"PC";"JTI-Shift2Rail-CSA";"Coordination and Support action";"JTI-Shift2Rail-CSA - Coordination and Support action";"PC";"JTI-Shift2Rail-CSA";"Coordination and Support action";"JTI-Shift2Rail-CSA - Coordination and Support action";"PC";"JTI-Shift2Rail-CSA";"Coordination and Support action";"JTI-Shift2Rail-CSA - Coordination and Support action";"P";"JTI-Shift2Rail";"Shift2Rail";"JTI-Shift2Rail - Shift2Rail"
"37";"JTI-FCH2-CSA";"IC";"MC";"JTI-FCH2-CSA";"Coordination and support action";"JTI-FCH2-CSA - Coordination and support action";"MC";"JTI-FCH2-CSA";"Coordination and support action";"JTI-FCH2-CSA - Coordination and support action";"MC";"JTI-FCH2-CSA";"Coordination and support action";"JTI-FCH2-CSA - Coordination and support action";"M";"JTI-FCH2";"FCH2 JU actions";"JTI-FCH2 - FCH2 JU actions"
"38";"JTI-Shift2Rail-RIA-LS";"WBA";"PAA";"JTI-Shift2Rail-RIA-LS";"Research and Innovation Action Lump-Sum";"JTI-Shift2Rail-RIA-LS - Research and Innovation Action Lump-Sum";"PAA";"JTI-Shift2Rail-RIA-LS";"Research and Innovation Action Lump-Sum";"JTI-Shift2Rail-RIA-LS - Research and Innovation Action Lump-Sum";"PA";"JTI-Shift2Rail-RIA";"Research and Innovation action";"JTI-Shift2Rail-RIA - Research and Innovation action";"P";"JTI-Shift2Rail";"Shift2Rail";"JTI-Shift2Rail - Shift2Rail"
"39";"JTI-BBI-IA-DEMO";"AA";"JB";"JTI-BBI-IA-DEMO";"Innovation action - Demonstration";"JTI-BBI-IA-DEMO - Innovation action - Demonstration";"JB";"JTI-BBI-IA-DEMO";"Innovation action - Demonstration";"JTI-BBI-IA-DEMO - Innovation action - Demonstration";"JB";"JTI-BBI-IA-DEMO";"Innovation action - Demonstration";"JTI-BBI-IA-DEMO - Innovation action - Demonstration";"J";"JTI-BBI";"JTI Bio-based Industries";"JTI-BBI - JTI Bio-based Industries"
"40";"JTI-BBI-RIA";"AC";"JA";"JTI-BBI-RIA";"Research and Innovation action";"JTI-BBI-RIA - Research and Innovation action";"JA";"JTI-BBI-RIA";"Research and Innovation action";"JTI-BBI-RIA - Research and Innovation action";"JA";"JTI-BBI-RIA";"Research and Innovation action";"JTI-BBI-RIA - Research and Innovation action";"J";"JTI-BBI";"JTI Bio-based Industries";"JTI-BBI - JTI Bio-based Industries"
